Product Name,Price,Speed,Control,Weight (g)
Andro Blax All+,$35.99 ,85,95,73
Andro Blax Off,$35.99 ,92,92,78
Andro CS7 Pro,$39.99 ,92,94,90
Andro CS7 Tour,$39.99 ,94,93,90
Andro CS7 Velocity,$39.99 ,96,92,90
Andro Flaxonite Cruiser All+,$38.35 ,89,93,80
Andro Flaxonite Driver OFF,$38.35 ,94,91,88
Andro Gauzy BL5 ALL,$39.95 ,n/a,n/a,84
Andro Gauzy BL7 OFF,$39.95 ,n/a,n/a,90
Andro Gauzy HL CO OFF,$69.95 ,n/a,n/a,90
Andro Gauzy SL OFF,$124.95 ,n/a,n/a,92
Andro HiLoom,$66.67 ,95,94,88
Andro Kanter All+,$36.36 ,85,96,72
Andro Kanter CO OFF,$79.95 ,96,64,68
Andro Kanter Explorer Off,$36.36 ,93,94,88
Andro Kinetic Record (OFF),$36.99 ,93,94,85
Andro Kinetic Record (OFF-),$36.99 ,89,95,85
Andro Kinetic Supreme Carbon OFF,$56.99 ,95,93,90
Andro Kinetic Supreme OFF,$36.99 ,93,94,82
Andro Novacell OFF/S  N ,$46.20 ,96,91,80
Andro ProLoom,$75.99 ,95,94,88
Andro Super Core Cell ALL,$34.95 ,81,98,85
Andro Super Core Cell Carbon OFF,$64.99 ,92,95,85
Andro Super Core Cell OFF,$34.95 ,91,94,85
Andro Super Core Cell OFF-,$36.99 ,87,95,80
Andro Super Core Cell OFF+,$36.99 ,94,93,85
Andro Temper Tech OFF,$48.00 ,95,94,80
Andro Timber 5 ALL/S,$42.95 ,75,73,83
Andro Timber 5 OFF,$42.95 ,85,65,83
Andro Timber 7 OFF/S,$47.95 ,89,62,90
Andro TP_Ligna CI OFF  N ,$129.45 ,90,65,85
Andro Treiber CI OFF,$88.95 ,86,68,90
Andro Treiber CO OFF/S,$88.95 ,98,62,90
Andro Treiber FI OFF  N ,$79.99 ,94,64,90
Andro Treiber FO OFF/S,$84.95 ,97,63,90
Andro Treiber H,$54.99 ,97,96,90
Andro Tronum Aratox OFF+,$56.99 ,98,93,90
Andro Tronum Carbotox OFF,$56.99 ,93,95,90
Butterfly Amultart ZLC,$229.99 ,n/a,n/a,84
Butterfly Amultart ZLC - Chinese Penhold,$399.99 ,n/a,n/a,84
Butterfly Andrzej Grubba,$52.24 ,n/a,n/a,85
Butterfly Apolonia ZLC,$269.99 ,n/a,n/a,88
Butterfly BalsaCarbo X5,$85.49 ,n/a,n/a,80
Butterfly Boll Allround XXS,$56.99 ,n/a,n/a,70
Butterfly Chinese Real - Chinese Penhold,$74.99 ,n/a,n/a,80
Butterfly Cypress G-Max S,$359.99 ,n/a,n/a,93
Butterfly Cypress JP I-S,$258.99 ,n/a,n/a,87
Butterfly Cypress T-Max S,$154.99 ,n/a,n/a,97
Butterfly Cypress V-Max,$234.99 ,n/a,n/a,97
Butterfly Diode V,$99.99 ,n/a,n/a,97
Butterfly Freitas ALC,$184.99 ,n/a,n/a,86
Butterfly Garaydia ALC,$161.99 ,n/a,n/a,83
Butterfly Garaydia Revolver-R,$154.99 ,n/a,n/a,59
Butterfly Garaydia T5000,$161.99 ,n/a,n/a,90
Butterfly Garaydia ZLC,$234.99 ,n/a,n/a,86
Butterfly Gionis Carbon ALL+,$59.99 ,n/a,n/a,85
Butterfly Gionis Carbon OFF,$69.99 ,n/a,n/a,90
Butterfly Hadraw JPV-R,$102.59 ,n/a,n/a,76
Butterfly Hadraw JPV-S,$102.59 ,n/a,n/a,76
Butterfly Hadraw Revolver-R,$134.99 ,n/a,n/a,63
Butterfly Hadraw Shield,$134.99 ,n/a,n/a,92
Butterfly Hadraw SK,$109.99 ,n/a,n/a,84
Butterfly Hadraw SR,$134.99 ,n/a,n/a,92
Butterfly Hadraw VK,$109.99 ,n/a,n/a,82
Butterfly Hadraw VR,$134.99 ,n/a,n/a,89
Butterfly Hadraw VR - Chinese Penhold,$134.99 ,n/a,n/a,90
Butterfly Harimoto Innerforce ALC  B ,$229.99 ,n/a,n/a,88
Butterfly Harimoto Innerforce ALC - Chin...,$218.49 ,n/a,n/a,88
Butterfly Harimoto Innerforce Super ZLC  B   N ,$399.99 ,n/a,n/a,90
Butterfly Harimoto Innerforce Super ZLC ...  N ,$399.99 ,n/a,n/a,87
Butterfly Harimoto Innerforce ZLC  N ,$269.99 ,n/a,n/a,89
Butterfly Harimoto Innerforce ZLC - Chin...  N ,$269.99 ,n/a,n/a,85
Butterfly Innerforce Layer ALC  B ,$164.99 ,n/a,n/a,85
Butterfly Innerforce Layer ALC - Chinese...,$349.99 ,n/a,n/a,85
Butterfly Innerforce Layer ALC.S,$164.99 ,n/a,n/a,87
Butterfly Innerforce Layer ALC.S - Chine...,$164.99 ,n/a,n/a,85
Butterfly Innerforce Layer ZLC,$232.74 ,n/a,n/a,87
Butterfly Innerforce Layer ZLC - Chinese...,$244.99 ,n/a,n/a,86
Butterfly Innerforce Layer ZLF,$189.99 ,n/a,n/a,85
Butterfly Innerforce Layer ZLF - Chinese...,$180.49 ,n/a,n/a,83
Butterfly Innershield Layer ZLF,$189.99 ,n/a,n/a,84
Butterfly Kenta Matsudaira ALC  B ,$184.99 ,n/a,n/a,84
Butterfly Kong Linghui,$94.99 ,n/a,n/a,90
Butterfly Korbel SK7,$89.99 ,n/a,n/a,92
Butterfly Lin Gaoyuan ALC,$175.74 ,n/a,n/a,87
Butterfly Maze Magic,$44.99 ,n/a,n/a,85
Butterfly Maze Performance,$69.99 ,n/a,n/a,73
Butterfly Mazunov,$74.99 ,n/a,n/a,103
Butterfly Mizutani Jun Super ZLC  B ,$399.99 ,n/a,n/a,90
Butterfly Mizutani Jun ZLC,$269.99 ,n/a,n/a,86
Butterfly Petr Korbel  B ,$69.99 ,n/a,n/a,91
Butterfly Primorac  B ,$69.99 ,n/a,n/a,88
Butterfly Primorac Carbon,$104.99 ,n/a,n/a,88
Butterfly Primorac Carbon - Chinese Penh...,$199.99 ,n/a,n/a,84
Butterfly Revoldia CNF  N ,$369.99 ,n/a,n/a,90
Butterfly Sardius,$134.99 ,n/a,n/a,92
Butterfly Shamada - Chinese Penhold,$84.99 ,n/a,n/a,89
Butterfly SK Carbon,$99.99 ,n/a,n/a,78
Butterfly SK Carbon - Chinese Penhold,$94.99 ,n/a,n/a,76
Butterfly SK7 Classic,$89.99 ,n/a,n/a,89
Butterfly SK7 Classic - Chinese Penhold,$89.99 ,n/a,n/a,91
Butterfly Strave - Chinese Penhold,$134.99 ,n/a,n/a,74
Butterfly Supreme Speed - Chinese Penhol...,$179.99 ,n/a,n/a,79
Butterfly Taksim - Chinese Penhold,$269.99 ,n/a,n/a,80
Butterfly TB5,$64.99 ,n/a,n/a,86
Butterfly TB5 Alpha,$64.99 ,n/a,n/a,88
Butterfly TB7,$69.99 ,n/a,n/a,84
Butterfly Timo Boll ALC  B ,$184.99 ,n/a,n/a,86
Butterfly Timo Boll ALC - Chinese Penhol...,$284.99 ,n/a,n/a,84
Butterfly Timo Boll Allround,$56.99 ,n/a,n/a,85
Butterfly Timo Boll CAF,$104.99 ,n/a,n/a,82
Butterfly Timo Boll CAF - Chinese Penhol...,$99.74 ,n/a,n/a,79
Butterfly Timo Boll Control,$54.99 ,n/a,n/a,85
Butterfly Timo Boll Forte,$71.24 ,n/a,n/a,90
Butterfly Timo Boll J,$69.99 ,n/a,n/a,70
Butterfly Timo Boll Offensive,$61.74 ,n/a,n/a,90
Butterfly Timo Boll Spirit,$134.99 ,n/a,n/a,87
Butterfly Timo Boll TJ,$104.99 ,n/a,n/a,70
Butterfly Timo Boll W7,$99.99 ,n/a,n/a,94
Butterfly Timo Boll ZLC,$269.99 ,n/a,n/a,85
Butterfly Timo Boll ZLC - Chinese Penhol...,$399.99 ,n/a,n/a,82
Butterfly Timo Boll ZLF,$204.24 ,n/a,n/a,83
Butterfly Timo Boll ZLF - Chinese Penhol...,$374.99 ,n/a,n/a,81
Butterfly Viscaria  B ,$184.99 ,n/a,n/a,87
Butterfly Xstar IV,$49.99 ,n/a,n/a,79
Butterfly Yoshida Kaii - Chinese Penhold,$74.99 ,n/a,n/a,92
Butterfly Zhang Jike ALC,$184.99 ,n/a,n/a,88
Butterfly Zhang Jike Super ZLC,$399.99 ,n/a,n/a,90
Butterfly Zhang Jike Super ZLC - Chinese...,$599.99 ,n/a,n/a,84
Butterfly Zhang Jike T5000,$184.99 ,n/a,n/a,91
Butterfly Zhang Jike ZLC,$269.99 ,n/a,n/a,87
Cornilleau Hinotec All+,$55.95 ,70,75,85
Donic Appelgren Allplay,$37.99 ,73,82,81
Donic Appelgren Dotec Control,$65.95 ,79,76,70
Donic Burn ALL+,$49.95 ,80,85,80
Donic Burn OFF,$39.99 ,94,65,90
Donic Crisan Titanium,$49.95 ,91,78,85
Donic Defplay Senso V3,$49.95 ,63,94,74
Donic Dyjas Ultra Power,$59.99 ,95,87,n/a
Donic Epox Control,$39.95 ,70,90,85
Donic New Impuls 6.5,$114.95 ,78,78,80
Donic New Impuls 7.0,$114.95 ,85,75,85
Donic Ovtcharov Carbospeed,$74.95 ,107,60,85
Donic Ovtcharov Exclusive Carbon,$49.95 ,90,65,85
Donic Ovtcharov No. 1,$122.95 ,93,69,85
Donic Ovtcharov Senso Carbon V1,$79.99 ,90,70,n/a
Donic Ovtcharov Soft Carbon V1,$69.95 ,80,79,90
Donic Ovtcharov True Carbon,$106.95 ,99,72,90
Donic Persson Carbotec,$67.95 ,98,72,90
Donic Persson Exclusive OFF,$32.95 ,75,70,85
Donic Persson Power Allround,$42.95 ,77,79,85
Donic Persson Powerplay,$49.95 ,92,63,n/a
Donic Shiono DEF,$69.95 ,55,99,83
Donic Waldner Black Devil Carbon Balsa,$86.95 ,95,79,80
Donic Waldner Dotec Allround,$72.95 ,85,80,78
Donic Waldner Exclusive AR+,$32.95 ,76,74,85
Donic Waldner Legend Carbon,$74.95 ,105,65,85
Donic Waldner Offensive 2016,$38.95 ,91,72,82
Donic Waldner Offensive 40  N ,$49.99 ,n/a,n/a,90
Donic Waldner Senso Carbon JO Shape V1,$59.99 ,86,70,n/a
Donic Waldner Senso Carbon V1,$59.99 ,86,70,n/a
Donic World Champion 89 - Persson OFF+,$89.25 ,100,70,85
Donic World Champion 89 - Waldner OFF,$129.99 ,80,95,85
Donier Offensive  N ,$19.99 ,91,85,86
Donier RR+  N ,$64.99 ,91,85,90
Gambler Blackout Max Speed Carbon  N ,$40.00 ,90,n/a,85
Gambler Exotic Zebra Wood Carbon,$32.00 ,85,n/a,85
Gambler Rose Wood Carbon,$32.00 ,91,n/a,86
Gambler Vector Hinoki,$40.00 ,n/a,n/a,n/a
Gambler Vector Target,$40.00 ,77,n/a,79
Gambler Wing Wood Carbon,$32.00 ,84,n/a,84
Gambler Zen,$16.00 ,70,85,82
GEWO Allround Classic,$39.99 ,84,90,80
GEWO Alvaro Robles Off,$69.99 ,96,90,90
GEWO Alvaro Robles Off-,$54.99 ,90,96,80
GEWO Aruna Energy ARC,$99.99 ,103,84,90
GEWO Aruna Hinoki Carbon,$149.99 ,101,88,90
GEWO Aruna Off,$94.99 ,91,88,90
GEWO Balsa Carbon 375,$64.99 ,84,99,75
GEWO Balsa Carbon 575,$64.99 ,94,90,75
GEWO Balsa Carbon 775,$64.99 ,99,84,80
GEWO Bence Majoros Off,$64.99 ,102,88,90
GEWO Dynatec ZV,$69.99 ,94,100,88
GEWO Force ARC,$99.99 ,97,85,85
GEWO Hybrid Carbon A/Speed All+,$49.99 ,89,100,80
GEWO Hybrid Carbon M/Speed Off-,$49.99 ,92,96,80
