Product_Name,Price,Speed,Control,Weight (g)
Andro Blax All+,35.99,85.0,95.0,73.0
Andro Blax Off,35.99,92.0,92.0,78.0
Andro CS7 Pro,39.99,92.0,94.0,90.0
Andro CS7 Tour,39.99,94.0,93.0,90.0
Andro CS7 Velocity,39.99,96.0,92.0,90.0
Andro Flaxonite Cruiser All+,38.35,89.0,93.0,80.0
Andro Flaxonite Driver OFF,38.35,94.0,91.0,88.0
Andro Gauzy BL5 ALL,39.95,87.49586776859505,78.10126582278481,84.0
Andro Gauzy BL7 OFF,39.95,87.49586776859505,78.10126582278481,90.0
Andro Gauzy HL CO OFF,69.95,87.49586776859505,78.10126582278481,90.0
Andro Gauzy SL OFF,124.95,87.49586776859505,78.10126582278481,92.0
Andro HiLoom,66.67,95.0,94.0,88.0
Andro Kanter All+,36.36,85.0,96.0,72.0
Andro Kanter CO OFF,79.95,96.0,64.0,68.0
Andro Kanter Explorer Off,36.36,93.0,94.0,88.0
Andro Kinetic Record (OFF),36.99,93.0,94.0,85.0
Andro Kinetic Record (OFF-),36.99,89.0,95.0,85.0
Andro Kinetic Supreme Carbon OFF,56.99,95.0,93.0,90.0
Andro Kinetic Supreme OFF,36.99,93.0,94.0,82.0
Andro Novacell OFF/S ,46.2,96.0,91.0,80.0
Andro ProLoom,75.99,95.0,94.0,88.0
Andro Super Core Cell ALL,34.95,81.0,98.0,85.0
Andro Super Core Cell Carbon OFF,64.99,92.0,95.0,85.0
Andro Super Core Cell OFF,34.95,91.0,94.0,85.0
Andro Super Core Cell OFF-,36.99,87.0,95.0,80.0
Andro Super Core Cell OFF+,36.99,94.0,93.0,85.0
Andro Temper Tech OFF,48.0,95.0,94.0,80.0
Andro Timber 5 ALL/S,42.95,75.0,73.0,83.0
Andro Timber 5 OFF,42.95,85.0,65.0,83.0
Andro Timber 7 OFF/S,47.95,89.0,62.0,90.0
Andro TP_Ligna CI OFF ,129.45,90.0,65.0,85.0
Andro Treiber CI OFF,88.95,86.0,68.0,90.0
Andro Treiber CO OFF/S,88.95,98.0,62.0,90.0
Andro Treiber FI OFF ,79.99,94.0,64.0,90.0
Andro Treiber FO OFF/S,84.95,97.0,63.0,90.0
Andro Treiber H,54.99,97.0,96.0,90.0
Andro Tronum Aratox OFF+,56.99,98.0,93.0,90.0
Andro Tronum Carbotox OFF,56.99,93.0,95.0,90.0
Butterfly Amultart ZLC,229.99,87.49586776859505,78.10126582278481,84.0
Butterfly Amultart ZLC - Chinese Penhold,399.99,87.49586776859505,78.10126582278481,84.0
Butterfly Andrzej Grubba,52.24,87.49586776859505,78.10126582278481,85.0
Butterfly Apolonia ZLC,269.99,87.49586776859505,78.10126582278481,88.0
Butterfly BalsaCarbo X5,85.49,87.49586776859505,78.10126582278481,80.0
Butterfly Boll Allround XXS,56.99,87.49586776859505,78.10126582278481,70.0
Butterfly Chinese Real - Chinese Penhold,74.99,87.49586776859505,78.10126582278481,80.0
Butterfly Cypress G-Max S,359.99,87.49586776859505,78.10126582278481,93.0
Butterfly Cypress JP I-S,258.99,87.49586776859505,78.10126582278481,87.0
Butterfly Cypress T-Max S,154.99,87.49586776859505,78.10126582278481,97.0
Butterfly Cypress V-Max,234.99,87.49586776859505,78.10126582278481,97.0
Butterfly Diode V,99.99,87.49586776859505,78.10126582278481,97.0
Butterfly Freitas ALC,184.99,87.49586776859505,78.10126582278481,86.0
Butterfly Garaydia ALC,161.99,87.49586776859505,78.10126582278481,83.0
Butterfly Garaydia Revolver-R,154.99,87.49586776859505,78.10126582278481,59.0
Butterfly Garaydia T5000,161.99,87.49586776859505,78.10126582278481,90.0
Butterfly Garaydia ZLC,234.99,87.49586776859505,78.10126582278481,86.0
Butterfly Gionis Carbon ALL+,59.99,87.49586776859505,78.10126582278481,85.0
Butterfly Gionis Carbon OFF,69.99,87.49586776859505,78.10126582278481,90.0
Butterfly Hadraw JPV-R,102.59,87.49586776859505,78.10126582278481,76.0
Butterfly Hadraw JPV-S,102.59,87.49586776859505,78.10126582278481,76.0
Butterfly Hadraw Revolver-R,134.99,87.49586776859505,78.10126582278481,63.0
