Product Name,Price,Spin,Speed,Control
729 729-08ES,$22.00 ,120,110,120
729 Top Point,$18.00 ,110,120,110
Andro Backside 20D,$29.99 ,103,85,97
Andro Chaos,$29.99 ,73,75,87
Andro GTT 40,$24.99 ,101,96,92
Andro GTT 45,$24.99 ,105,89,84
Andro Hexer,$29.99 ,109,107,78
Andro Hexer Grip,$35.99 ,92,93,72
Andro Hexer Grip SFX,$35.99 ,92,90,74
Andro Hexer HD,$34.85 ,110,113,80
Andro Hexer Powergrip,$35.99 ,92,94,71
Andro Hexer PowerGrip SFX,$35.99 ,92,90,74
Andro Hexer+,$29.99 ,108,109,79
Andro Impuls Speed,$29.99 ,105,89,84
Andro Plasma 380,$29.99 ,101,96,92
Andro Plasma 430,$29.99 ,103,105,80
Andro Plasma 470,$29.99 ,105,110,75
Andro Plaxon 350,$26.99 ,101,96,92
Andro Plaxon 400,$26.99 ,103,105,80
Andro Plaxon 450,$26.99 ,105,110,75
Andro Plaxon 525,$26.99 ,105,110,75
Andro Rasanter R37,$39.99 ,126,113,91
Andro Rasanter R42  B ,$39.99 ,126,117,88
Andro Rasanter R47  B ,$39.99 ,126,120,85
Andro Rasanter R50,$39.99 ,126,124,82
Andro Rasanter R53  B ,$45.99 ,127,129,89
Andro Rasanter V42,$39.99 ,124,120,90
Andro Rasanter V47,$39.99 ,124,126,87
Andro Revo Fire,$27.99 ,102,101,84
Andro Rocket Medium,$23.99 ,100,97,87
Andro Roxon 450,$35.99 ,105,110,75
Andro Roxon 500 Pro,$35.99 ,107,115,74
Andro Shifter Powersponge,$32.99 ,106,92,95
Butterfly Bryce,$66.99 ,95,120,n/a
Butterfly Bryce FX,$66.99 ,95,120,n/a
Butterfly Bryce HighSpeed,$62.99 ,103,145,n/a
Butterfly Bryce Speed,$75.99 ,97,140,n/a
Butterfly Bryce Speed FX,$75.99 ,97,140,n/a
Butterfly Challenger Attack,$37.99 ,65,95,n/a
Butterfly Dignics 05  B ,$93.99 ,120,135,n/a
Butterfly Dignics 09C  B ,$93.99 ,130,130,n/a
Butterfly Dignics 64,$93.99 ,110,140,n/a
Butterfly Dignics 80  B ,$93.99 ,117,137,n/a
Butterfly Feint AG,$59.99 ,40,70,n/a
Butterfly Feint Long II,$29.99 ,32,62,n/a
Butterfly Feint Long II OX,$29.99 ,32,62,n/a
Butterfly Feint Long III,$32.99 ,40,60,n/a
Butterfly Feint Long III OX,$32.99 ,40,60,45
Butterfly Feint OX,$26.99 ,35,45,n/a
Butterfly Feint Soft,$30.99 ,35,55,n/a
Butterfly Flarestorm II,$66.99 ,67,117,n/a
Butterfly Flextra,$19.99 ,87,82,n/a
Butterfly Impartial XB,$52.24 ,67,119,n/a
Butterfly Impartial XS,$54.99 ,79,122,n/a
Butterfly Orthodox OX,$19.99 ,42,60,n/a
Butterfly Raystorm,$53.99 ,70,97,n/a
Butterfly Roundell,$54.99 ,102,128,n/a
Butterfly Roundell Hard,$54.99 ,102,128,n/a
Butterfly Roundell Soft,$54.99 ,102,128,n/a
Butterfly Rozena  B ,$39.99 ,108,130,n/a
Butterfly Sapphira,$27.99 ,85,87,n/a
Butterfly Speedy P.O.,$38.99 ,60,100,n/a
Butterfly Spin Art,$71.24 ,115,119,n/a
Butterfly Sriver  B ,$32.99 ,80,100,n/a
Butterfly Sriver EL,$32.99 ,80,100,n/a
Butterfly Sriver FX,$32.99 ,80,100,n/a
Butterfly Super Anti,$27.99 ,30,40,n/a
Butterfly Tackifire Drive,$36.99 ,92,90,n/a
Butterfly Tackiness Chop,$34.99 ,100,65,88
Butterfly Tackiness Chop II,$44.99 ,100,75,n/a
Butterfly Tackiness Drive,$34.99 ,90,85,n/a
Butterfly Tenergy 05  B ,$79.99 ,115,130,n/a
Butterfly Tenergy 05 Hard  B ,$79.99 ,115,130,n/a
Butterfly Tenergy 05-FX  B ,$79.99 ,115,130,n/a
Butterfly Tenergy 25,$79.99 ,110,132,n/a
Butterfly Tenergy 25-FX,$79.99 ,110,132,n/a
Butterfly Tenergy 64,$79.99 ,105,135,n/a
Butterfly Tenergy 64-FX,$79.99 ,105,135,n/a
Butterfly Tenergy 80  B ,$79.99 ,112,132,n/a
Butterfly Tenergy 80-FX,$79.99 ,112,132,n/a
DHS C8  N ,$13.95 ,n/a,n/a,n/a
DHS Gold Arc 8 - 47.5 Hardness,$44.95 ,94,93,69
DHS Gold Arc 8 - 50 Hardness,$44.95 ,94,93,69
DHS Hurricane 3 National,$65.99 ,n/a,n/a,n/a
DHS Hurricane 3 Neo  B ,$21.95 ,120,120,100
DHS Hurricane 3 Neo Provincial,$47.99 ,n/a,n/a,n/a
DHS Hurricane 3 Provincial - Blue Sponge,$49.99 ,n/a,n/a,n/a
DHS Hurricane 3 Provincial - Yellow Spon...,$47.99 ,n/a,n/a,n/a
DHS Hurricane 3-50 Soft,$29.95 ,92,90,73
DHS Hurricane 8 Mid,$35.99 ,98,92,74
DHS Skyline 3-60 - Mid-Hard,$29.95 ,95,86,70
DHS Skyline 3-60 - Mid-Soft,$29.95 ,95,86,70
DHS TG Skyline 2,$14.99 ,110,90,100
DHS TG Skyline 3 Neo,$19.95 ,120,120,110
DHS TinArc 3 - Mid-Hard,$29.99 ,88,87,74
DHS TinArc 3 - Soft,$29.99 ,88,87,76
DHS TinArc 5 - Soft,$29.99 ,94,96,74
Donic Acuda Blue P1,$44.95 ,104,102,69
Donic Acuda Blue P1 Turbo,$49.95 ,108,106,70
Donic Acuda Blue P2,$44.95 ,106,98,75
Donic Acuda Blue P3,$39.95 ,106,90,80
Donic Acuda S1,$28.95 ,97,96,68
Donic Acuda S1 Turbo,$39.95 ,107,107,60
Donic Acuda S2,$28.95 ,98,92,69
Donic Acuda S3,$28.95 ,100,100,60
Donic Baracuda,$43.95 ,98,91,71
Donic Baracuda Big Slam,$43.95 ,100,90,73
Donic Bluefire Big Slam,$42.75 ,106,94,80
Donic Bluefire JP 01,$36.95 ,105,102,70
Donic Bluefire JP 01 Turbo,$39.95 ,98,97,67
Donic Bluefire JP 03,$36.95 ,105,95,65
Donic Bluefire M1,$42.75 ,107,107,60
Donic Bluefire M1 Turbo,$42.75 ,98,98,66
Donic Bluefire M2,$42.75 ,107,97,70
Donic Bluefire M3,$42.75 ,107,90,77
Donic BlueGrip R1,$39.99 ,97,94,68
Donic BlueGrip V1,$39.95 ,n/a,n/a,n/a
