Product_Name,Price,Spin,Speed,Control
729 729-08ES,22.0,120.0,110.0,120.0
729 Top Point,18.0,110.0,120.0,110.0
Andro Backside 20D,29.99,103.0,85.0,97.0
Andro Chaos,29.99,73.0,75.0,87.0
Andro GTT 40,24.99,101.0,96.0,92.0
Andro GTT 45,24.99,105.0,89.0,84.0
Andro Hexer,29.99,109.0,107.0,78.0
Andro Hexer Grip,35.99,92.0,93.0,72.0
Andro Hexer Grip SFX,35.99,92.0,90.0,74.0
Andro Hexer HD,34.85,110.0,113.0,80.0
Andro Hexer Powergrip,35.99,92.0,94.0,71.0
Andro Hexer PowerGrip SFX,35.99,92.0,90.0,74.0
Andro Hexer+,29.99,108.0,109.0,79.0
Andro Impuls Speed,29.99,105.0,89.0,84.0
Andro Plasma 380,29.99,101.0,96.0,92.0
Andro Plasma 430,29.99,103.0,105.0,80.0
Andro Plasma 470,29.99,105.0,110.0,75.0
Andro Plaxon 350,26.99,101.0,96.0,92.0
Andro Plaxon 400,26.99,103.0,105.0,80.0
Andro Plaxon 450,26.99,105.0,110.0,75.0
Andro Plaxon 525,26.99,105.0,110.0,75.0
Andro Rasanter R37,39.99,126.0,113.0,91.0
Andro Rasanter R42 ,39.99,126.0,117.0,88.0
Andro Rasanter R47 ,39.99,126.0,120.0,85.0
Andro Rasanter R50,39.99,126.0,124.0,82.0
Andro Rasanter R53 ,45.99,127.0,129.0,89.0
Andro Rasanter V42,39.99,124.0,120.0,90.0
Andro Rasanter V47,39.99,124.0,126.0,87.0
Andro Revo Fire,27.99,102.0,101.0,84.0
Andro Rocket Medium,23.99,100.0,97.0,87.0
Andro Roxon 450,35.99,105.0,110.0,75.0
Andro Roxon 500 Pro,35.99,107.0,115.0,74.0
Andro Shifter Powersponge,32.99,106.0,92.0,95.0
Butterfly Bryce,66.99,95.0,120.0,80.74248927038627
Butterfly Bryce FX,66.99,95.0,120.0,80.74248927038627
Butterfly Bryce HighSpeed,62.99,103.0,145.0,80.74248927038627
Butterfly Bryce Speed,75.99,97.0,140.0,80.74248927038627
Butterfly Bryce Speed FX,75.99,97.0,140.0,80.74248927038627
Butterfly Challenger Attack,37.99,65.0,95.0,80.74248927038627
Butterfly Dignics 05 ,93.99,120.0,135.0,80.74248927038627
Butterfly Dignics 09C ,93.99,130.0,130.0,80.74248927038627
Butterfly Dignics 64,93.99,110.0,140.0,80.74248927038627
Butterfly Dignics 80 ,93.99,117.0,137.0,80.74248927038627
Butterfly Feint AG,59.99,40.0,70.0,80.74248927038627
Butterfly Feint Long II,29.99,32.0,62.0,80.74248927038627
Butterfly Feint Long II OX,29.99,32.0,62.0,80.74248927038627
Butterfly Feint Long III,32.99,40.0,60.0,80.74248927038627
Butterfly Feint Long III OX,32.99,40.0,60.0,45.0
Butterfly Feint OX,26.99,35.0,45.0,80.74248927038627
Butterfly Feint Soft,30.99,35.0,55.0,80.74248927038627
Butterfly Flarestorm II,66.99,67.0,117.0,80.74248927038627
Butterfly Flextra,19.99,87.0,82.0,80.74248927038627
Butterfly Impartial XB,52.24,67.0,119.0,80.74248927038627
Butterfly Impartial XS,54.99,79.0,122.0,80.74248927038627
Butterfly Orthodox OX,19.99,42.0,60.0,80.74248927038627
Butterfly Raystorm,53.99,70.0,97.0,80.74248927038627
Butterfly Roundell,54.99,102.0,128.0,80.74248927038627
Butterfly Roundell Hard,54.99,102.0,128.0,80.74248927038627
Butterfly Roundell Soft,54.99,102.0,128.0,80.74248927038627
Butterfly Rozena ,39.99,108.0,130.0,80.74248927038627
Butterfly Sapphira,27.99,85.0,87.0,80.74248927038627
Butterfly Speedy P.O.,38.99,60.0,100.0,80.74248927038627
Butterfly Spin Art,71.24,115.0,119.0,80.74248927038627
Butterfly Sriver ,32.99,80.0,100.0,80.74248927038627
Butterfly Sriver EL,32.99,80.0,100.0,80.74248927038627
Butterfly Sriver FX,32.99,80.0,100.0,80.74248927038627
Butterfly Super Anti,27.99,30.0,40.0,80.74248927038627
Butterfly Tackifire Drive,36.99,92.0,90.0,80.74248927038627
Butterfly Tackiness Chop,34.99,100.0,65.0,88.0
Butterfly Tackiness Chop II,44.99,100.0,75.0,80.74248927038627
Butterfly Tackiness Drive,34.99,90.0,85.0,80.74248927038627
Butterfly Tenergy 05 ,79.99,115.0,130.0,80.74248927038627
Butterfly Tenergy 05 Hard ,79.99,115.0,130.0,80.74248927038627
Butterfly Tenergy 05-FX ,79.99,115.0,130.0,80.74248927038627
Butterfly Tenergy 25,79.99,110.0,132.0,80.74248927038627
Butterfly Tenergy 25-FX,79.99,110.0,132.0,80.74248927038627
Butterfly Tenergy 64,79.99,105.0,135.0,80.74248927038627
Butterfly Tenergy 64-FX,79.99,105.0,135.0,80.74248927038627
Butterfly Tenergy 80 ,79.99,112.0,132.0,80.74248927038627
Butterfly Tenergy 80-FX,79.99,112.0,132.0,80.74248927038627
DHS C8 ,13.95,94.74772036474164,98.04129793510324,80.74248927038627
DHS Gold Arc 8 - 47.5 Hardness,44.95,94.0,93.0,69.0
DHS Gold Arc 8 - 50 Hardness,44.95,94.0,93.0,69.0
DHS Hurricane 3 National,65.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3 Neo ,21.95,120.0,120.0,100.0
DHS Hurricane 3 Neo Provincial,47.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3 Provincial - Blue Sponge,49.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3 Provincial - Yellow Spon...,47.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3-50 Soft,29.95,92.0,90.0,73.0
DHS Hurricane 8 Mid,35.99,98.0,92.0,74.0
DHS Skyline 3-60 - Mid-Hard,29.95,95.0,86.0,70.0
DHS Skyline 3-60 - Mid-Soft,29.95,95.0,86.0,70.0
DHS TG Skyline 2,14.99,110.0,90.0,100.0
DHS TG Skyline 3 Neo,19.95,120.0,120.0,110.0
DHS TinArc 3 - Mid-Hard,29.99,88.0,87.0,74.0
DHS TinArc 3 - Soft,29.99,88.0,87.0,76.0
DHS TinArc 5 - Soft,29.99,94.0,96.0,74.0
Donic Acuda Blue P1,44.95,104.0,102.0,69.0
Donic Acuda Blue P1 Turbo,49.95,108.0,106.0,70.0
Donic Acuda Blue P2,44.95,106.0,98.0,75.0
Donic Acuda Blue P3,39.95,106.0,90.0,80.0
Donic Acuda S1,28.95,97.0,96.0,68.0
Donic Acuda S1 Turbo,39.95,107.0,107.0,60.0
Donic Acuda S2,28.95,98.0,92.0,69.0
Donic Acuda S3,28.95,100.0,100.0,60.0
Donic Baracuda,43.95,98.0,91.0,71.0
Donic Baracuda Big Slam,43.95,100.0,90.0,73.0
Donic Bluefire Big Slam,42.75,106.0,94.0,80.0
Donic Bluefire JP 01,36.95,105.0,102.0,70.0
Donic Bluefire JP 01 Turbo,39.95,98.0,97.0,67.0
Donic Bluefire JP 03,36.95,105.0,95.0,65.0
Donic Bluefire M1,42.75,107.0,107.0,60.0
Donic Bluefire M1 Turbo,42.75,98.0,98.0,66.0
Donic Bluefire M2,42.75,107.0,97.0,70.0
Donic Bluefire M3,42.75,107.0,90.0,77.0
Donic BlueGrip R1,39.99,97.0,94.0,68.0
Donic BlueGrip V1,39.95,94.74772036474164,98.04129793510324,80.74248927038627
Donic Bluestorm Big Slam,44.95,94.74772036474164,98.04129793510324,80.74248927038627
Donic Bluestorm Z1,39.95,97.0,97.0,69.0
Donic Bluestorm Z1 Turbo,49.95,97.0,98.0,67.0
Donic Bluestorm Z2,45.65,97.0,95.0,70.0
Donic Bluestorm Z3,45.65,97.0,91.0,73.0
Donic Desto F3 Big Slam,37.95,94.0,85.0,72.0
Donic Spike P1,24.95,94.74772036474164,35.0,35.0
Donic Twister LB,28.95,94.74772036474164,57.0,80.0
Donic Vario Big Slam,34.95,94.74772036474164,80.0,78.0
Gambler Big Gun,14.0,95.0,96.0,80.0
Gambler Big Gun Oh-Toro,15.0,94.74772036474164,98.0,85.0
Gambler Burst Oh-Toro,15.0,94.74772036474164,90.0,91.0
Gambler GXL,14.0,55.0,55.0,94.0
Gambler GXM Oh-Toro ,15.0,70.0,70.0,94.0
Gambler GXS Oh-Toro ,15.0,84.0,98.0,84.0
Gambler Mech-Tek Oh-Toro,15.0,94.74772036474164,94.0,88.0
Gambler Vintage,14.0,30.0,55.0,80.74248927038627
Gambler Volt-T Oh-Toro,18.0,94.74772036474164,96.0,87.0
